authors,big_sort,big_url,cover_link,detail_link,name,price,pub_time,publisher,small_sort,small_url
 纳特·凯尼恩 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/g13/M08/08/10/rBEhU1IerfYIAAAAAAO9KqtgYFwAACjxABlBr8AA71C530.jpg,https://item.jd.com/11310096.html,暗黑破坏神3：赫拉迪姆,26.10,2013-09,新星出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 皮尔斯·布朗 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t8335/204/989019774/357704/e8f79f4b/59b2687bN1e27ec94.jpg,https://item.jd.com/11892151.html,火星崛起,34.90,2016-05,江苏凤凰文艺出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 肯·福莱特 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t7519/108/2499539292/548055/f8c2c57a/59afc619N86ab4cf6.jpg,https://item.jd.com/12078151.html,肯·福莱特世纪三部曲：《巨人的陨落》《世界的凛冬》《永恒的边缘》（礼盒珍藏版套装共9册+智能手环）,383.50,2017-05,江苏凤凰文艺出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 裟椤双树 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/g8/M03/09/07/rBEHZ1B_X10IAAAAAADS9X0aBv4AABzUACDnFAAANMN611.jpg,https://item.jd.com/11095919.html,浮生物语外传：七夜,18.40,2012-08,长江出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 纳特·凯尼恩 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/g15/M02/03/0F/rBEhWlLgs2EIAAAAAAM14PdNgZcAAII0wJNcewAAzX4746.jpg,https://item.jd.com/11399011.html,暗黑破坏神3：圣光风暴,27.00,2014-02,新星出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 J.R.R. 托尔金 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/g14/M06/0D/1C/rBEhV1Ld4GsIAAAAABW6sqolFGgAAINJAMjJs0AFbrK357.jpg,https://item.jd.com/11387303.html,霍比特人,28.40,2014-02,上海人民出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 哈珀·李 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t3940/71/1602685288/295867/16d91687/5885c88bNb85b4566.png,https://item.jd.com/12037351.html,杀死一只知更鸟,37.90,2017-02,译林出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 丹·布朗 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/jfs/t295/325/587174260/758808/6db59821/541904e8N80957319.jpg,https://item.jd.com/11515744.html,达·芬奇密码（精装本）,37.50,2014-08,上海文艺出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 乔治·R.R.马丁 ,小说,https://channel.jd.com/1713-3258.html,https://img13.360buyimg.com/n7/jfs/t1126/114/896531780/234061/b1af9240/556426a0N6d52805e.jpg,https://item.jd.com/11696703.html,危险的女人（套装上下册）,55.70,2015-05,重庆出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 安德烈.斯帕克沃斯 ,小说,https://channel.jd.com/1713-3258.html,https://img10.360buyimg.com/n7/jfs/t3214/36/555999434/1457850/1005e441/57ba9fccNd534983b.jpg,https://item.jd.com/11962575.html,猎魔人卷四：轻蔑时代,25.10,2016-08,重庆出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
 加·泽文 ,小说,https://channel.jd.com/1713-3258.html,https://img14.360buyimg.com/n7/jfs/t2734/298/1480559056/404726/18345d58/573ed6feN2b280dce.jpg,https://item.jd.com/11936254.html,玛格丽特小镇,25.20,2016-06,江苏凤凰文艺出版社,外国小说,https://list.jd.com/1713-3258-3303.html
 安德烈.斯帕克沃斯基 ,小说,https://channel.jd.com/1713-3258.html,https://img11.360buyimg.com/n7/jfs/t2500/169/2954316654/340688/f53f8722/56f38582N50f2d37b.jpg,https://item.jd.com/11897226.html,猎魔人卷三：精灵之血,28.00,2016-03,重庆出版社,魔幻/奇幻/玄幻,https://list.jd.com/1713-3258-3306.html
